;Timestamp;SensorType;LC_Activity;Active;Sensor_Added;SensorActivationTime;Duration;LC;room;room_major;Case;Cluster;Routine
121;2007-10-25 18:42:35.831191;M;5;1.0;5;1.6576240000000002;8.994341;s;living_room;living_room;7;1;weekday_
123;2007-10-25 18:42:44.825532;M;5;1.0;5;4.997257;5.199952000000001;s;living_room;living_room;7;1;weekday_
125;2007-10-25 18:42:50.025484;M;5;1.0;5;5.2735970000000005;0.769378;s;living_room;living_room;7;1;weekday_
126;2007-10-25 18:42:50.794862;M;6;1.0;6;5.072170000000001;20.274023;s;living_room;living_room;7;1;weekday_
129;2007-10-25 18:43:11.068885;M;5;1.0;5;1.02671;1.409612;s;living_room;living_room;7;1;weekday_
131;2007-10-25 18:43:12.478497;M;5;1.0;5;2.2273680000000002;7.524426;s;living_room;living_room;7;1;weekday_
133;2007-10-25 18:43:20.002923;M;5;1.0;5;14.541986000000001;1.033163;s;living_room;living_room;7;1;weekday_
134;2007-10-25 18:43:21.036086;M;6;1.0;6;6.254295000000001;14.075875000000002;s;living_room;living_room;7;1;weekday_
137;2007-10-25 18:43:35.111961;M;5;1.0;5;1.9991780000000001;3.394312;s;living_room;living_room;7;1;weekday_
139;2007-10-25 18:43:38.506273;M;5;1.0;5;2.332004;12.215955000000001;s;living_room;living_room;7;1;weekday_
141;2007-10-25 18:43:50.722228;M;5;1.0;5;3.0751950000000003;4.432805;s;living_room;living_room;7;1;weekday_
143;2007-10-25 18:43:55.155033;M;5;1.0;5;2.3279;9.197096;s;living_room;living_room;7;1;weekday_
145;2007-10-25 18:44:04.352129;M;5;1.0;5;1.999492;3.5760490000000003;s;living_room;living_room;7;1;weekday_
147;2007-10-25 18:44:07.928178;M;5;1.0;5;13.022390000000001;6.578184;s;living_room;living_room;7;1;weekday_
148;2007-10-25 18:44:14.506362;M;6;1.0;6;1.0196960000000002;15.600733000000002;s;living_room;living_room;7;1;weekday_
151;2007-10-25 18:44:30.107095;M;5;1.0;5;4.315819;13.157222;s;living_room;living_room;7;1;weekday_
153;2007-10-25 18:44:43.264317;M;5;1.0;5;12.081674000000001;12.417635;s;living_room;living_room;7;1;weekday_
155;2007-10-25 18:44:55.681952;M;5;1.0;5;1.693874;6.763592;s;living_room;living_room;7;1;weekday_
157;2007-10-25 18:45:02.445544;M;5;1.0;5;3.993764;6.343968;s;living_room;living_room;7;1;weekday_
159;2007-10-25 18:45:08.789512;M;5;1.0;5;4.351735000000001;21.496957000000002;s;living_room;living_room;7;1;weekday_
161;2007-10-25 18:45:30.286469;M;5;1.0;5;1.7215070000000001;12.396588000000001;s;living_room;living_room;7;1;weekday_
163;2007-10-25 18:45:42.683057;M;5;1.0;5;1.9084670000000001;2.945186;s;living_room;living_room;7;1;weekday_
165;2007-10-25 18:45:45.628243;M;5;1.0;5;2.3373720000000002;3.401135;s;living_room;living_room;7;1;weekday_
167;2007-10-25 18:45:49.029378;M;5;1.0;5;3.332231;18.493216;s;living_room;living_room;7;1;weekday_
169;2007-10-25 18:46:07.522594;M;5;1.0;5;1.0437100000000001;23.970309;s;living_room;living_room;7;1;weekday_
171;2007-10-25 18:46:31.492903;M;5;1.0;5;1.601118;2.703228;s;living_room;living_room;7;1;weekday_
173;2007-10-25 18:46:34.196131;M;5;1.0;5;2.5853610000000002;6.805631;s;living_room;living_room;7;1;weekday_
175;2007-10-25 18:46:41.001762;M;5;1.0;5;7.8293170000000005;29.243051;s;living_room;living_room;7;1;weekday_
177;2007-10-25 18:47:10.244813;M;5;1.0;5;1.044885;8.627331;s;living_room;living_room;7;1;weekday_
179;2007-10-25 18:47:18.872144;M;5;1.0;5;2.529799;3.1379550000000003;s;living_room;living_room;7;1;weekday_
181;2007-10-25 18:47:22.010099;M;5;1.0;5;6.064706;17.215014;s;living_room;living_room;7;1;weekday_
183;2007-10-25 18:47:39.225113;M;5;1.0;5;3.4450290000000003;23.129594;s;living_room;living_room;7;1;weekday_
185;2007-10-25 18:48:02.354707;M;5;1.0;5;1.7835040000000002;2.341419;s;living_room;living_room;7;1;weekday_
187;2007-10-25 18:48:04.696126;M;5;1.0;5;2.5850250000000004;6.603415;s;living_room;living_room;7;1;weekday_
189;2007-10-25 18:48:11.299541;M;5;1.0;5;1.0360200000000002;1.400927;s;living_room;living_room;7;1;weekday_
191;2007-10-25 18:48:12.700468;M;5;1.0;5;5.41554;7.329353;s;living_room;living_room;7;1;weekday_
193;2007-10-25 18:48:20.029821;M;5;1.0;5;2.4466780000000004;29.370882;s;living_room;living_room;7;1;weekday_
195;2007-10-25 18:48:49.400703;M;5;1.0;5;1.791508;7.606181;s;living_room;living_room;7;1;weekday_
197;2007-10-25 18:48:57.006884;M;5;1.0;5;2.602981;3.5347220000000004;s;living_room;living_room;7;1;weekday_
199;2007-10-25 18:49:00.541606;M;5;1.0;5;1.042708;6.908173000000001;s;living_room;living_room;7;1;weekday_
201;2007-10-25 18:49:07.449779;M;5;1.0;5;2.311359;14.005780000000001;s;living_room;living_room;7;1;weekday_
203;2007-10-25 18:49:21.455559;M;5;1.0;5;5.077656;15.884822000000002;s;living_room;living_room;7;1;weekday_
205;2007-10-25 18:49:37.340381;M;5;1.0;5;1.792151;2.252192;s;living_room;living_room;7;1;weekday_
207;2007-10-25 18:49:39.592573;M;5;1.0;5;2.429231;28.713424000000003;s;living_room;living_room;7;1;weekday_
209;2007-10-25 18:50:08.305997;M;5;1.0;5;1.6235590000000002;11.928738000000001;s;living_room;living_room;7;1;weekday_
211;2007-10-25 18:50:20.234735;M;5;1.0;5;2.9229580000000004;7.668372000000001;s;living_room;living_room;7;1;weekday_
213;2007-10-25 18:50:27.903107;M;5;1.0;5;6.536384;2.247497;s;living_room;living_room;7;1;weekday_
214;2007-10-25 18:50:30.150604;M;6;1.0;6;4.452863000000001;21.662312;s;living_room;living_room;7;1;weekday_
217;2007-10-25 18:50:51.812916;M;6;1.0;6;2.107516;5.368608;s;living_room;living_room;7;1;weekday_
219;2007-10-25 18:50:57.181524;M;5;1.0;5;4.656703;3.2351020000000004;s;living_room;living_room;7;1;weekday_
220;2007-10-25 18:51:00.416626;M;6;1.0;6;4.078861;7.1590050000000005;s;living_room;living_room;7;1;weekday_
223;2007-10-25 18:51:07.575631;M;6;1.0;6;4.573726000000001;2.47132;s;living_room;living_room;7;1;weekday_
224;2007-10-25 18:51:10.046951;M;5;1.0;5;10.915982000000001;16.205557000000002;s;living_room;living_room;7;1;weekday_
227;2007-10-25 18:51:26.252508;M;5;1.0;5;4.106337;7.793671000000001;s;living_room;living_room;7;1;weekday_
229;2007-10-25 18:51:34.046179;M;5;1.0;5;4.27458;25.166996;s;living_room;living_room;7;1;weekday_
231;2007-10-25 18:51:59.213175;M;5;1.0;5;4.678918;0.8077300000000001;s;living_room;living_room;7;1;weekday_
232;2007-10-25 18:52:00.020905;M;6;1.0;6;2.983448;3.9951760000000003;s;living_room;living_room;7;1;weekday_
235;2007-10-25 18:52:04.016081;M;5;1.0;5;1.062476;5.290502;s;living_room;living_room;7;1;weekday_
237;2007-10-25 18:52:09.306583;M;5;1.0;5;1.5975620000000001;0.309911;s;living_room;living_room;7;1;weekday_
238;2007-10-25 18:52:09.616494;M;6;1.0;6;1.541574;8.207721000000001;s;living_room;living_room;7;1;weekday_
241;2007-10-25 18:52:17.824215;M;5;1.0;5;1.027706;2.115403;s;living_room;living_room;7;1;weekday_
243;2007-10-25 18:52:19.939618;M;5;1.0;5;1.6735440000000001;4.384794;s;living_room;living_room;7;1;weekday_
245;2007-10-25 18:52:24.324412;M;5;1.0;5;1.753506;6.746824;s;living_room;living_room;7;1;weekday_
247;2007-10-25 18:52:31.071236;M;5;1.0;5;1.9879470000000001;6.696729;s;living_room;living_room;7;1;weekday_
249;2007-10-25 18:52:37.767965;M;5;1.0;5;1.5591240000000002;0.5050530000000001;s;living_room;living_room;7;1;weekday_
250;2007-10-25 18:52:38.273018;M;6;1.0;6;3.75734;1.6691310000000001;s;living_room;living_room;7;1;weekday_
252;2007-10-25 18:52:39.942149;M;5;1.0;5;5.262110000000001;58.997724000000005;s;living_room;living_room;7;1;weekday_
255;2007-10-25 18:53:38.939873;M;5;1.0;5;2.694328;3.2001850000000003;s;living_room;living_room;7;1;weekday_
257;2007-10-25 18:53:42.140058;M;5;1.0;5;2.2853980000000003;35.665178000000004;s;living_room;living_room;7;1;weekday_
259;2007-10-25 18:54:17.805236;M;5;1.0;5;1.7955050000000001;3.2990760000000003;s;living_room;living_room;7;1;weekday_
261;2007-10-25 18:54:21.104312;M;5;1.0;5;1.9014710000000001;2.283372;s;living_room;living_room;7;1;weekday_
263;2007-10-25 18:54:23.387684;M;5;1.0;5;2.091421;106.73717400000001;s;living_room;living_room;7;1;weekday_
265;2007-10-25 18:56:10.124858;M;5;1.0;5;1.004721;82.86128400000001;s;living_room;living_room;7;1;weekday_
267;2007-10-25 18:57:32.986142;M;6;1.0;6;2.5122;0.138013;s;living_room;living_room;7;1;weekday_
268;2007-10-25 18:57:33.124155;M;5;1.0;5;1.970153;8.993711000000001;s;living_room;living_room;7;1;weekday_
271;2007-10-25 18:57:42.117866;M;5;1.0;5;1.389593;2.015426;s;living_room;living_room;7;1;weekday_
273;2007-10-25 18:57:44.133292;M;5;1.0;5;2.3543320000000003;26.792663;s;living_room;living_room;7;1;weekday_
275;2007-10-25 18:58:10.925955;M;5;1.0;5;1.631558;28.320592;s;living_room;living_room;7;1;weekday_
277;2007-10-25 18:58:39.246547;M;5;1.0;5;1.017819;1.343801;s;living_room;living_room;7;1;weekday_
279;2007-10-25 18:58:40.590348;M;5;1.0;5;1.489705;25.951199000000003;s;living_room;living_room;7;1;weekday_
281;2007-10-25 18:59:06.541547;M;5;1.0;5;2.884208;7.9298020000000005;s;living_room;living_room;7;1;weekday_
283;2007-10-25 18:59:14.471349;M;5;1.0;5;3.019168;0.7178100000000001;s;living_room;living_room;7;1;weekday_
284;2007-10-25 18:59:15.189159;M;6;1.0;6;1.933469;2.43833;s;living_room;living_room;7;1;weekday_
287;2007-10-25 18:59:17.627489;M;5;1.0;5;1.6185640000000001;1.7505540000000002;s;living_room;living_room;7;1;weekday_
289;2007-10-25 18:59:19.378043;M;5;1.0;5;2.5712710000000003;26.231122000000003;s;living_room;living_room;7;1;weekday_
291;2007-10-25 18:59:45.609165;M;5;1.0;5;1.4355980000000002;7.681876000000001;s;living_room;living_room;7;1;weekday_
293;2007-10-25 18:59:53.291041;M;5;1.0;5;3.5776830000000004;12.392240000000001;s;living_room;living_room;7;1;weekday_
295;2007-10-25 19:00:05.683281;M;6;1.0;6;6.662140000000001;1.212644;s;living_room;living_room;7;1;weekday_
296;2007-10-25 19:00:06.895925;M;5;1.0;5;3.761963;2.23339;s;living_room;living_room;7;1;weekday_
297;2007-10-25 19:00:09.129315;M;7;1.0;7;2.893173;0.7077920000000001;s;living_room;living_room;7;1;weekday_
298;2007-10-25 19:00:09.837107;M;8;1.0;8;2.631266;0.6738240000000001;s;living_room;living_room;7;1;weekday_
299;2007-10-25 19:00:10.510931;M;9;1.0;9;1.711492;0.52983;s;living_room;living_room;7;1;weekday_
301;2007-10-25 19:00:11.040761;M;15;1.0;15;4.167842;0.51787;s;living_room;living_room;7;1;weekday_
302;2007-10-25 19:00:11.558631;M;16;1.0;16;8.989478;6.0972930000000005;s;kitchen;living_room;7;1;weekday_
308;2007-10-25 19:00:17.655924;M;15;1.0;15;3.3883620000000003;1.206652;s;living_room;living_room;7;1;weekday_
309;2007-10-25 19:00:18.862576;M;9;1.0;9;16.498355;0.369896;s;living_room;living_room;7;1;weekday_
310;2007-10-25 19:00:19.232472;M;8;1.0;8;2.3453630000000003;4.098857000000001;s;living_room;living_room;7;1;weekday_
314;2007-10-25 19:00:23.331329;M;8;1.0;8;1.0577050000000001;2.7495100000000003;s;living_room;living_room;7;1;weekday_
316;2007-10-25 19:00:26.080839;M;8;1.0;8;9.921134;5.544246;s;living_room;living_room;7;1;weekday_
317;2007-10-25 19:00:31.625085;M;7;1.0;7;5.1519770000000005;2.3397330000000003;s;living_room;living_room;7;1;weekday_
318;2007-10-25 19:00:33.964818;M;6;1.0;6;4.06836;17.119221;s;living_room;living_room;7;1;weekday_
323;2007-10-25 19:00:51.084039;M;6;1.0;6;6.320838;1.5035990000000001;s;living_room;living_room;7;1;weekday_
324;2007-10-25 19:00:52.587638;M;5;1.0;5;6.48207;9.351676000000001;s;living_room;living_room;7;1;weekday_
327;2007-10-25 19:01:01.939314;M;5;1.0;5;4.551138;1.553825;s;living_room;living_room;7;1;weekday_
328;2007-10-25 19:01:03.493139;M;6;1.0;6;2.239525;5.056763;s;living_room;living_room;7;1;weekday_
331;2007-10-25 19:01:08.549902;M;5;1.0;5;7.829822;16.1535;s;living_room;living_room;7;1;weekday_
333;2007-10-25 19:01:24.703402;M;5;1.0;5;2.199382;2.997169;s;living_room;living_room;7;1;weekday_
335;2007-10-25 19:01:27.700571;M;5;1.0;5;2.175396;5.83839;s;living_room;living_room;7;1;weekday_
337;2007-10-25 19:01:33.538961;M;5;1.0;5;4.750693;11.502475;s;living_room;living_room;7;1;weekday_
339;2007-10-25 19:01:45.041436;M;6;1.0;6;1.972069;2.2121150000000003;s;living_room;living_room;7;1;weekday_
341;2007-10-25 19:01:47.253551;M;5;1.0;5;4.167085;1.663783;s;living_room;living_room;7;1;weekday_
342;2007-10-25 19:01:48.917334;M;6;1.0;6;0.17517100000000002;1.3846120000000002;s;living_room;living_room;7;1;weekday_
344;2007-10-25 19:01:50.301946;M;6;1.0;6;6.727727000000001;2.807229;s;living_room;living_room;7;1;weekday_
346;2007-10-25 19:01:53.109175;M;5;1.0;5;3.602517;36.585324;s;living_room;living_room;7;1;weekday_
349;2007-10-25 19:02:29.694499;M;5;1.0;5;2.2383960000000003;2.4783280000000003;s;living_room;living_room;7;1;weekday_
351;2007-10-25 19:02:32.172827;M;5;1.0;5;1.034708;52.273689000000005;s;living_room;living_room;7;1;weekday_
353;2007-10-25 19:03:24.446516;M;5;1.0;5;4.774665000000001;5.934346000000001;s;living_room;living_room;7;1;weekday_
355;2007-10-25 19:03:30.380862;M;5;1.0;5;6.424224000000001;6.8381240000000005;s;living_room;living_room;7;1;weekday_
357;2007-10-25 19:03:37.218986;M;5;1.0;5;1.729516;0.681809;s;living_room;living_room;7;1;weekday_
358;2007-10-25 19:03:37.900795;M;6;1.0;6;4.552721;1.341626;s;living_room;living_room;7;1;weekday_
360;2007-10-25 19:03:39.242421;M;5;1.0;5;5.470475;3.7949270000000004;s;living_room;living_room;7;1;weekday_
362;2007-10-25 19:03:43.037348;M;6;1.0;6;2.100431;10.755029;s;living_room;living_room;7;1;weekday_
365;2007-10-25 19:03:53.792377;M;5;1.0;5;4.301259;15.800275000000001;s;living_room;living_room;7;1;weekday_
367;2007-10-25 19:04:09.592652;M;5;1.0;5;1.6097810000000001;10.120931;s;living_room;living_room;7;1;weekday_
369;2007-10-25 19:04:19.713583;M;5;1.0;5;1.048049;58.068249;s;living_room;living_room;7;1;weekday_
371;2007-10-25 19:05:17.781832;M;5;1.0;5;1.0228700000000002;5.393249;s;living_room;living_room;7;1;weekday_
373;2007-10-25 19:05:23.175081;M;5;1.0;5;2.1294210000000002;18.255605000000003;s;living_room;living_room;7;1;weekday_
375;2007-10-25 19:05:41.430686;M;6;1.0;6;0.9957210000000001;3.590999;s;living_room;living_room;7;1;weekday_
377;2007-10-25 19:05:45.021685;M;5;1.0;5;1.023708;37.003919;s;living_room;living_room;7;1;weekday_
379;2007-10-25 19:06:22.025604;M;5;1.0;5;1.862964;9.94149;s;living_room;living_room;7;1;weekday_
381;2007-10-25 19:06:31.967094;M;6;1.0;6;1.003713;0.09439700000000001;s;living_room;living_room;7;1;weekday_
382;2007-10-25 19:06:32.061491;M;5;1.0;5;3.482612;4.154581;s;living_room;living_room;7;1;weekday_
385;2007-10-25 19:06:36.216072;M;5;1.0;5;8.792787;4.846283000000001;s;living_room;living_room;7;1;weekday_
386;2007-10-25 19:06:41.062355;M;6;1.0;6;2.8480260000000004;26.001639;s;living_room;living_room;7;1;weekday_
389;2007-10-25 19:07:07.063994;M;5;1.0;5;8.075804;8.629652;s;living_room;living_room;7;1;weekday_
391;2007-10-25 19:07:15.693646;M;5;1.0;5;2.325451;549.7196;s;living_room;living_room;7;1;weekday_
393;2007-10-25 19:16:25.413246;M;6;1.0;6;1.993092;221.99110700000003;s;living_room;living_room;7;1;weekday_
395;2007-10-25 19:20:07.404353;M;6;1.0;6;7.487125000000001;14.142748000000001;s;living_room;living_room;7;1;weekday_
397;2007-10-25 19:20:21.547101;M;11;1.0;11;2.488531;0.805775;s;living_room;living_room;7;1;weekday_
398;2007-10-25 19:20:22.352876;M;6;1.0;6;2.690326;190.03701900000002;s;living_room;living_room;7;1;weekday_
401;2007-10-25 19:23:32.389895;M;11;1.0;11;4.892251;0.13997300000000001;s;living_room;living_room;7;1;weekday_
402;2007-10-25 19:23:32.529868;M;6;1.0;6;4.530245;1.656514;s;living_room;living_room;7;1;weekday_
403;2007-10-25 19:23:34.186382;M;5;1.0;5;3.9548360000000002;16.244242;s;living_room;living_room;7;1;weekday_
407;2007-10-25 19:23:50.430624;M;11;1.0;11;2.9351830000000003;6.3022480000000005;s;living_room;living_room;7;1;weekday_
409;2007-10-25 19:23:56.732872;M;11;1.0;11;2.855195;35.596782000000005;s;living_room;living_room;7;1;weekday_
411;2007-10-25 19:24:32.329654;M;11;1.0;11;3.9244250000000003;0.186972;s;living_room;living_room;7;1;weekday_
412;2007-10-25 19:24:32.516626;M;5;1.0;5;1.6696030000000002;0.0;s;living_room;living_room;7;1;weekday_
413;2007-10-25 19:24:32.516626;M;6;1.0;6;1.9075790000000001;2.2465490000000004;s;living_room;living_room;7;1;weekday_
416;2007-10-25 19:24:34.763175;M;6;1.0;6;3.324609;0.120011;s;living_room;living_room;7;1;weekday_
417;2007-10-25 19:24:34.883186;M;10;1.0;10;1.6638460000000002;3.3945580000000004;s;living_room;living_room;7;1;weekday_
421;2007-10-25 19:24:38.277744;M;6;1.0;6;1.8525330000000002;24.769820000000003;s;living_room;living_room;7;1;weekday_
423;2007-10-25 19:25:03.047564;M;6;1.0;6;3.65499;0.124975;s;living_room;living_room;7;1;weekday_
424;2007-10-25 19:25:03.172539;M;5;1.0;5;3.217105;36.640566;s;living_room;living_room;7;1;weekday_
427;2007-10-25 19:25:39.813105;M;6;1.0;6;2.2577420000000004;0.183978;s;living_room;living_room;7;1;weekday_
428;2007-10-25 19:25:39.997083;M;11;1.0;11;2.339455;0.303879;s;living_room;living_room;7;1;weekday_
429;2007-10-25 19:25:40.300962;M;10;1.0;10;1.7566000000000002;0.159972;s;living_room;living_room;7;1;weekday_
430;2007-10-25 19:25:40.460934;M;5;1.0;5;1.751605;11.743729;s;living_room;living_room;7;1;weekday_
435;2007-10-25 19:25:52.204663;M;11;1.0;11;3.882334;0.356024;s;living_room;living_room;7;1;weekday_
436;2007-10-25 19:25:52.560687;M;6;1.0;6;3.7443340000000003;2.534222;s;living_room;living_room;7;1;weekday_
437;2007-10-25 19:25:55.094909;M;5;1.0;5;1.778153;46.385356;s;living_room;living_room;7;1;weekday_
441;2007-10-25 19:26:41.480265;M;11;1.0;11;3.431884;0.16307200000000002;s;living_room;living_room;7;1;weekday_
443;2007-10-25 19:26:41.643337;M;6;1.0;6;3.4438060000000004;0.270015;s;living_room;living_room;7;1;weekday_
442;2007-10-25 19:26:41.643337;M;10;1.0;10;1.516097;0.0;s;living_room;living_room;7;1;weekday_
444;2007-10-25 19:26:41.913352;M;5;1.0;5;3.173791;135.555385;s;living_room;living_room;7;1;weekday_
449;2007-10-25 19:28:57.468737;M;11;1.0;11;5.887205000000001;0.32202600000000003;s;living_room;living_room;7;1;weekday_
450;2007-10-25 19:28:57.790763;M;6;1.0;6;1.9730750000000001;0.166048;s;living_room;living_room;7;1;weekday_
451;2007-10-25 19:28:57.956811;M;5;1.0;5;3.0620380000000003;3.657557;s;living_room;living_room;7;1;weekday_
454;2007-10-25 19:29:01.614368;M;6;1.0;6;1.581576;49.746736000000006;s;living_room;living_room;7;1;weekday_
457;2007-10-25 19:29:51.361104;M;11;1.0;11;1.7605270000000002;2.6906220000000003;s;living_room;living_room;7;1;weekday_
